"x","y"
-121.858352661133,36.2817077636718
-121.858390808105,36.2817535400391
-121.858428955078,36.2816886901856
-121.858390808105,36.28169631958
-121.858352661133,36.2817077636718
-121.858436584473,36.2815704345703
-121.858558654785,36.2813491821289
-121.858512878418,36.2812805175781
-121.857749938965,36.2812156677246
-121.857276916504,36.2811050415039
-121.856796264648,36.280990600586
-121.856262207031,36.280818939209
-121.85587310791,36.2806701660156
-121.85555267334,36.2805595397949
-121.855400085449,36.2805442810059
-121.855171203613,36.2804183959961
-121.855102539062,36.2803001403809
-121.855026245117,36.2802238464356
-121.854637145996,36.2800827026367
-121.854377746582,36.2799835205078
-121.854179382324,36.2798957824707
-121.854110717773,36.2796783447266
-121.854057312012,36.2795791625977
-121.853889465332,36.2796401977539
-121.853782653809,36.2796401977539
-121.853607177734,36.2795677185059
-121.853469848633,36.279483795166
-121.853309631348,36.2793731689453
-121.853202819824,36.279296875
-121.85311126709,36.2791481018066
-121.852996826172,36.2790184020997
-121.852966308594,36.2788848876953
-121.852867126465,36.2788467407226
-121.852760314941,36.2787132263184
-121.85270690918,36.2786445617675
-121.85270690918,36.2784957885742
-121.852546691895,36.2784271240235
-121.852348327637,36.2783470153809
-121.852279663086,36.27827835083
-121.852096557617,36.2782249450684
-121.851867675781,36.2782249450684
-121.851547241211,36.2781066894531
-121.851257324219,36.2780151367188
-121.851181030273,36.2778434753418
-121.851112365723,36.2777214050293
-121.851089477539,36.2776412963867
-121.85099029541,36.2774620056152
-121.85083770752,36.2773399353027
-121.85082244873,36.277229309082
-121.85082244873,36.2770805358887
-121.850723266602,36.2770118713379
-121.850646972656,36.2769546508789
-121.850547790527,36.2768478393554
-121.850486755371,36.2767333984375
-121.850379943848,36.2765922546387
-121.850273132324,36.2764739990234
-121.850273132324,36.2762794494629
-121.850158691406,36.2761726379394
-121.850036621094,36.2759552001953
-121.849952697754,36.275676727295
-121.849838256836,36.2756500244141
-121.849716186523,36.2755966186523
-121.849472045898,36.2754821777344
-121.849090576172,36.275260925293
-121.848663330078,36.2750282287597
-121.848007202148,36.2744827270508
-121.847930908203,36.2743988037109
-121.847923278809,36.274299621582
-121.847816467285,36.2740898132324
-121.847763061523,36.2740020751953
-121.847587585449,36.2738571166992
-121.847457885742,36.2737998962402
-121.847412109375,36.2736053466797
-121.847312927246,36.2735290527344
-121.847312927246,36.2732887268067
-121.847290039062,36.2732048034668
-121.847198486328,36.2731246948242
-121.847076416016,36.2730407714844
-121.846969604492,36.2729721069336
-121.846832275391,36.272834777832
-121.846717834473,36.2727241516114
-121.8466796875,36.2726364135742
-121.846603393555,36.2725601196289
-121.846496582031,36.2725028991699
-121.846389770508,36.2723655700683
-121.846351623535,36.2722778320312
-121.846237182617,36.2722396850586
-121.84619140625,36.2722015380859
-121.846138000488,36.2720909118652
-121.846046447754,36.2719688415527
-121.84587097168,36.2717971801758
-121.845771789551,36.2717323303223
-121.845718383789,36.2716026306152
-121.845672607422,36.2715263366699
-121.845588684082,36.2714157104492
-121.845497131348,36.2713165283203
-121.845397949219,36.2711372375488
-121.845336914063,36.2710189819336
-121.845336914063,36.2709197998046
-121.845390319824,36.2708358764648
-121.84538269043,36.2707633972168
-121.845260620117,36.2707481384277
-121.845207214355,36.2707023620606
-121.84513092041,36.2705459594726
-121.845153808594,36.2703819274902
-121.845207214355,36.2701911926269
-121.845306396484,36.2700996398926
-121.845336914063,36.27001953125
-121.845336914063,36.2699356079102
-121.844970703125,36.2699127197266
-121.844993591309,36.2695693969727
-121.844703674316,36.2695388793945
-121.844512939453,36.2693824768067
-121.844352722168,36.2692794799805
-121.844230651855,36.2690505981445
-121.844047546387,36.2687530517578
-121.843933105469,36.2685279846192
-121.843818664551,36.2681999206543
-121.843803405762,36.2680435180664
-121.843803405762,36.267894744873
-121.843643188477,36.267879486084
-121.843536376953,36.2678184509277
